Position Category,Position
General Civil Servant,Administrative Assistant III
General Civil Servant,Administrative Assistant V
General Civil Servant,Administrative Officer IV
General Civil Servant,Administrative Officer V
General Civil Servant,Department Assistant Secretary
General Civil Servant,Department Secretary
General Civil Servant,Department Undersecretary
General Civil Servant,Department Legislative Liaison Specialist
General Civil Servant,Executive Assistant I
General Civil Servant,Executive Assistant II
General Civil Servant,Executive Assistant III
General Civil Servant,Executive Assistant IV
General Civil Servant,Executive Assistant V
General Civil Servant,Head Executive Assistant
General Civil Servant,Senior Administrative Assistant III
General Civil Servant,Senior Administrative Assistant V
General Civil Servant,Security Guard I
General Civil Servant,Security Officer II
General Civil Servant,Administrative Aide I
General Civil Servant,Administrative Aide IV
General Civil Servant,Administrative Aide V
General Civil Servant,Administrative Assistant II
General Civil Servant,Executive Director II
General Civil Servant,Administrative Officer II
Teaching Related,Education Program Specialist II
Teaching Related,Senior Education Program Specialist
General Civil Servant,Director IV
General Civil Servant,Supervising Administrative Officer 
General Civil Servant,Chief Administrative Officer
General Civil Servant,Administrative Officer I
General Civil Servant,Administrative Officer III
General Civil Servant,Engineer II
General Civil Servant,Architect III
General Civil Servant,Engineer IV
General Civil Servant,Engineer V
General Civil Servant,Project Development Officer I
General Civil Servant,Project Development Officer II
General Civil Servant,Project Development Officer III
General Civil Servant,Senior Administrative Assistant II
General Civil Servant,Engineer III
General Civil Servant,Administrative Aide III
General Civil Servant,Computer File Librarian I
General Civil Servant,Administrative Aide II
General Civil Servant,Guesthouse Caretaker
General Civil Servant,Teachers' Camp Superintendent
General Civil Servant,Administrative Aide VI
General Civil Servant,Assistant Teacher's Camp Superintendent
General Civil Servant,Special Investigator III
General Civil Servant,Special Investigator II
General Civil Servant,Legal Assistant II
General Civil Servant,Attorney V
General Civil Servant,Attorney IV
General Civil Servant,Attorney III
General Civil Servant,Project Development Officer IV
General Civil Servant,Project Development Officer V
General Civil Servant,Chief Accountant
General Civil Servant,Accountant II
General Civil Servant,Accountant III
General Civil Servant,Accountant IV
General Civil Servant,Computer Programmer II
General Civil Servant,Computer Programmer III
General Civil Servant,Information Technology Officer III
General Civil Servant,Information Systems Analyst III
General Civil Servant,Information Systems Researcher III
General Civil Servant,Information Technology Officer II
General Civil Servant,Information Systems Analyst II
General Civil Servant,Information Technology Officer I
General Civil Servant,Computer Maintenance Technologist III
General Civil Servant,Director III
General Civil Servant,Statistician III
General Civil Servant,Senior Administrative Assistant I
General Civil Servant,Planning Officer V
General Civil Servant,Draftsman II
Teaching Related,Education Program Specialist I
General Civil Servant,Photoengraver II
General Civil Servant,Watchman I
Teaching Related,Supervising Education Program Specialist
Teaching Related,Chief Education Program Specialist
Allied Medical,Supervising Health Program Officer
Allied Medical,Health Education and Promotion Officer III
Allied Medical,Health Education and Promotion Officer II
Allied Medical,Dentist III
Allied Medical,Chief Health Program Officer
General Civil Servant,Statistician II
Teaching Related,Guidance Services Specialist II
General Civil Servant,Administrative Assistant I
General Civil Servant,Senior Science Research Specialist
General Civil Servant,Science Research Technician I
General Civil Servant,Science Research Technician III
General Civil Servant,Science Research Technician IV
General Civil Servant,Typesetter II
General Civil Servant,Warehouseman III
General Civil Servant,Accountant I
General Civil Servant,Creative Arts Specialist II
General Civil Servant,Proofreader II
General Civil Servant,Science Research Specialist II
General Civil Servant,Librarian II
General Civil Servant,Internal Auditor I
General Civil Servant,Internal Auditor II
General Civil Servant,Internal Auditor III
General Civil Servant,Internal Auditor IV
General Civil Servant,Internal Auditor V
General Civil Servant,Internal Auditing Assistant
General Civil Servant,Construction and Maintenance Man
