Region,Division
Region XIII - CARAGA,Division of Bayugan City
Region XIII - CARAGA,Division of Cabadbaran City
Region XIII - CARAGA,Division of Tandag City
Region XIII - CARAGA,Division of Agusan del Norte
Region XIII - CARAGA,Division of Agusan del Sur
Region XIII - CARAGA,Division of Bislig City
Region XIII - CARAGA,Division of Butuan City
Region XIII - CARAGA,Division of Dinagat Island
Region XIII - CARAGA,Division of Siargao
Region XIII - CARAGA,Division of Surigao City
Region XIII - CARAGA,Division of Surigao del Norte
Region XIII - CARAGA,Division of Surigao del Sur
Region XII - SOCCSKSARGEN,Division of Cotabato
Region XII - SOCCSKSARGEN,Division of General Santos City
Region XII - SOCCSKSARGEN,Division of Kidapawan City
Region XII - SOCCSKSARGEN,Division of Koronadal City
Region XII - SOCCSKSARGEN,Division of Sarangani
Region XII - SOCCSKSARGEN,Division of South Cotabato
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat
Region XII - SOCCSKSARGEN,Division of Tacurong City
Region XI - Davao,Division of Davao City
Region XI - Davao,Division of Davao de Oro
Region XI - Davao,Division of Davao del Norte
Region XI - Davao,Division of Davao del Sur
Region XI - Davao,Division of Davao Occidental
Region XI - Davao,Division of Davao Oriental
Region XI - Davao,Division of Digos City
Region XI - Davao,Division of Island Garden City of Samal
Region XI - Davao,Division of Mati City
Region XI - Davao,Division of Panabo City
Region XI - Davao,Division of Tagum City
Region X - Northern Mindanao,Division of Bukidnon
Region X - Northern Mindanao,Division of Cagayan de Oro City
Region X - Northern Mindanao,Division of Camiguin
Region X - Northern Mindanao,Division of El Salvador City
Region X - Northern Mindanao,Division of Gingoog City
Region X - Northern Mindanao,Division of Iligan City
Region X - Northern Mindanao,Division of Lanao del Norte
Region X - Northern Mindanao,Division of Malaybalay City
Region X - Northern Mindanao,Division of Misamis Occidental
Region X - Northern Mindanao,Division of Misamis Oriental
Region X - Northern Mindanao,Division of Oroquieta City
Region X - Northern Mindanao,Division of Ozamiz City
Region X - Northern Mindanao,Division of Tangub City
Region X - Northern Mindanao,Division of Valencia City
Region VIII - Eastern Visayas,Division of Baybay City
Region VIII - Eastern Visayas,Division of Biliran
Region VIII - Eastern Visayas,Division of Borongan City
Region VIII - Eastern Visayas,Division of Calbayog City
Region VIII - Eastern Visayas,Division of Catbalogan City
Region VIII - Eastern Visayas,Division of Eastern Samar
Region VIII - Eastern Visayas,Division of Leyte
Region VIII - Eastern Visayas,Division of Maasin City
Region VIII - Eastern Visayas,Division of Northern Samar
Region VIII - Eastern Visayas,Division of Ormoc City
Region VIII - Eastern Visayas,Division of Samar
Region VIII - Eastern Visayas,Division of Southern Leyte
Region VIII - Eastern Visayas,Division of Tacloban City
Region VII - Central Visayas,Division of Bais City
Region VII - Central Visayas,Division of Bayawan City
Region VII - Central Visayas,Division of Bogo City
Region VII - Central Visayas,Division of Bohol
Region VII - Central Visayas,Division of Canlaon City
Region VII - Central Visayas,Division of Carcar City
Region VII - Central Visayas,Division of Cebu City
Region VII - Central Visayas,Division of Cebu Province
Region VII - Central Visayas,Division of Danao City
Region VII - Central Visayas,Division of Dumaguete City
Region VII - Central Visayas,Division of Guihulngan City
Region VII - Central Visayas,Division of Lapu-lapu City
Region VII - Central Visayas,Division of Mandaue City
Region VII - Central Visayas,Division of Negros Oriental
Region VII - Central Visayas,Division of Siquijor
Region VII - Central Visayas,Division of Tagbilaran City
Region VII - Central Visayas,Division of Talisay City
Region VII - Central Visayas,Division of Tanjay City
Region VII - Central Visayas,Division of Toledo City
Region VI - Western Visayas,Division of Aklan
Region VI - Western Visayas,Division of Antique
Region VI - Western Visayas,Division of Bacolod City
Region VI - Western Visayas,Division of Bago City
Region VI - Western Visayas,Division of Cadiz City
Region VI - Western Visayas,Division of Capiz
Region VI - Western Visayas,Division of Escalante City
Region VI - Western Visayas,Division of Guimaras
Region VI - Western Visayas,Division of Himamaylan City
Region VI - Western Visayas,Division of Iloilo
Region VI - Western Visayas,Division of Iloilo City
Region VI - Western Visayas,Division of Kabankalan City
Region VI - Western Visayas,Division of La Carlota City
Region VI - Western Visayas,Division of Negros Occidental
