,GMIS.Region,Old.Region,GMIS.Division,Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
1,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Accountant I,3,0,3,100
2,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Accountant II,2,1,3,66.67
3,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Accountant III,1,0,1,100
4,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide I,10,0,10,100
5,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide II,3,0,3,100
6,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide III,4,1,5,80
7,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide IV,4,0,4,100
8,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide V,1,0,1,100
9,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Aide VI,12,0,12,100
10,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant I,10,0,10,100
11,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant II,7,2,9,77.78
12,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant III,5,1,6,83.33
13,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Assistant V,1,0,1,100
14,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer I,1,1,2,50
15,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer II,8,0,8,100
16,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer III,2,0,2,100
17,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer IV,10,0,10,100
18,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Administrative Officer V,9,0,9,100
19,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Assistant Teacher's Camp Superintendent,1,0,1,100
20,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Attorney III,1,0,1,100
21,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Attorney IV,1,0,1,100
22,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Chief Administrative Officer,2,0,2,100
23,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Chief Education Supervisor,6,0,6,100
24,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Computer Maintenance Technologist I,1,0,1,100
25,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Computer Programmer II,1,0,1,100
26,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Dentist III,1,0,1,100
27,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Director III,1,0,1,100
28,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Director IV,1,0,1,100
29,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Dormitory Manager II,1,0,1,100
30,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Draftsman II,1,0,1,100
31,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Education Program Specialist II,4,0,4,100
32,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Education Program Supervisor,21,0,21,100
33,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Engineer III,1,0,1,100
34,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Guesthouse Caretaker,18,0,18,100
35,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Information Technology Officer I,1,0,1,100
36,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Librarian II,1,0,1,100
37,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Medical Officer IV,1,0,1,100
38,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Nutritionist-Dietitian II,1,0,1,100
39,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Planning Officer III,1,0,1,100
40,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Project Development Officer II,3,0,3,100
41,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Project Development Officer IV,1,0,1,100
42,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Security Guard I,1,0,1,100
43,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Senior Education Program Specialist,1,1,2,50
44,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Special Investigator III,1,0,1,100
45,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Statistician I,1,0,1,100
46,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Supervising Administrative Officer ,2,0,2,100
47,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Teacher Credentials Evaluator II,1,0,1,100
48,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Teachers' Camp Superintendent,1,0,1,100
49,Cordillera Administrative Region (CAR),CAR,Central Office/Staff Bureaus/ROs,Regional Office,Teaching-Aids Specialist,1,0,1,100
50,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Accountant III,1,0,1,100
51,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Aide I,36,2,38,94.74
52,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Aide II,1,0,1,100
53,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Aide III,7,1,8,87.5
54,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Aide IV,6,0,6,100
55,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Aide VI,8,0,8,100
56,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Assistant I,1,0,1,100
57,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Assistant II,75,1,76,98.68
58,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Assistant III,74,1,75,98.67
59,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Officer I,10,0,10,100
60,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Officer II,172,0,172,100
61,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Officer III,2,1,3,66.67
62,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Officer IV,7,0,7,100
63,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Administrative Officer V,2,0,2,100
64,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Agriculturist I,2,4,6,33.33
65,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Assistant Schools Division Superintendent,1,0,1,100
66,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Attorney III,1,0,1,100
67,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Chief Education Supervisor,2,0,2,100
68,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Dental Aide,1,0,1,100
69,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Dentist II,2,0,2,100
70,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Education Program Specialist II,5,0,5,100
71,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Education Program Supervisor,10,1,11,90.91
72,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Electronics and Communications Equipment Technician I,1,0,1,100
73,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Engineer III,1,0,1,100
74,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Farm Worker I,1,7,8,12.5
75,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Guidance Counselor II,1,8,9,11.11
76,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Guidance Counselor III,1,2,3,33.33
77,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Head Teacher I,24,3,27,88.89
78,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Head Teacher II,21,1,22,95.45
79,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Head Teacher III,49,1,50,98
80,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Head Teacher VI,4,1,5,80
81,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Information Technology Officer I,1,0,1,100
82,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Librarian II,1,0,1,100
83,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Master Teacher I,146,2,148,98.65
84,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Master Teacher II,87,0,87,100
85,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Master Teacher III,2,0,2,100
86,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Medical Officer III,1,0,1,100
87,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Nurse II,41,1,42,97.62
88,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Planning Officer III,1,0,1,100
89,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Project Development Officer I,9,0,9,100
90,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Project Development Officer II,2,0,2,100
91,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Public Schools District Supervisor,10,0,10,100
92,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Registrar I,1,0,1,100
93,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Librarian I,2,0,2,100
94,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Librarian III,2,0,2,100
95,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Principal I,57,3,60,95
96,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Principal II,26,0,26,100
97,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Principal III,13,1,14,92.86
98,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,School Principal IV,1,0,1,100
99,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Schools Division Superintendent,1,0,1,100
100,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Security Guard I,16,0,16,100
101,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Security Guard II,1,0,1,100
102,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Senior Education Program Specialist,3,1,4,75
