SchoolID,School.Name,Region,Division,Modified.COC,TrackOffering,TrackOffering.Intended,Typology,SHS.Enrolment,ClassesOrganized,TeacherRequirement,JHSTeachers,SHSTeachers,English,Filipino,Science,Mathematics,Araling.Panlipunan,Agriculture,Biological.Sciences,NA,ECE,ESP,General.Ed,MAPEH,Physical.Sciences,SPED,TLE,SHS.Packages
300005,BATAC NATIONAL HIGH SCHOOL,REGION I,BATAC CITY,JHS with SHS,TechVoc,#N/A,#N/A,195,6,9,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shielded Metal Arc Welding (NC I and NC II)
300052,ILOCOS SUR NATIONAL HIGH SCHOOL,REGION I,VIGAN CITY,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,3384,87,131,197,126,0,0,0,1,3,1,0,0,0,0,0,0,0,0,19,NA
300080,SINAIT NATIONAL HIGH SCHOOL,REGION I,ILOCOS SUR,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1257,34,51,82,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural Crops Production (NC II), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
300086,TAGUDIN NATIONAL HIGH SCHOOL,REGION I,ILOCOS SUR,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1243,34,51,72,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II)"
300090,EULOGIO CLARENCE DE GUZMAN JUNIOR MEMORIAL NATIONAL VOCATIONAL HIGH SCHOOL,REGION I,LA UNION,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,164,6,9,13,7,2,1,0,2,1,0,1,0,0,0,0,1,1,0,3,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
300095,BACNOTAN NATIONAL HIGH SCHOOL,REGION I,LA UNION,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1046,28,42,82,38,7,6,3,5,3,0,2,0,0,0,0,3,1,1,6,"Agricultural Crops Production (NC II), Animation (NC II), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
300118,LA UNION NHS,REGION I,SAN FERNANDO CITY,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,2264,58,87,118,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300132,"REGIONAL SCIENCE HS, LA UNION",REGION I,LA UNION,JHS with SHS,Academic,Academic,Medium,333,10,15,22,13,3,0,1,4,0,0,4,0,0,0,0,1,0,0,0,NA
300155,ALAMINOS CITY NATIONAL HIGH SCHOOL,REGION I,ALAMINOS CITY,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,2545,65,98,145,86,17,6,4,12,16,0,4,0,0,0,3,1,2,0,10,NA
300183,CALASIAO COMPREHENSIVE NHS,REGION I,"PANGASINAN I, LINGAYEN",JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,1611,43,65,155,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,NA
300368,DAGUPAN CITY NHS,REGION I,DAGUPAN CITY,JHS with SHS,"Acad, TechVoc and Arts",Acad and TechPro,Very Large,2129,57,86,175,78,20,8,10,14,15,0,0,1,0,0,0,3,1,0,6,"Caregiving (NC II), Shielded Metal Arc Welding (NC I and NC II)"
300410,URDANETA CITY NATIONAL HIGH SCHOOL,REGION I,URDANETA CITY,JHS with SHS,"Acad, TechVoc and Arts",Acad and TechPro,Very Large,1985,52,78,135,68,19,8,8,11,12,0,5,0,0,0,0,4,2,0,6,NA
300416,MAHATAO NHS,REGION II,BATANES,JHS with SHS,Academic,Acad and TechPro,Very Small,38,2,3,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300418,ABULUG NATIONAL RURAL AND VOCATIONAL HIGH SCHOOL,REGION II,CAGAYAN,JHS with SHS,Acad and TechVoc,#N/A,#N/A,157,6,9,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural Crops Production (NC II), Computer Systems Servicing (NC II)"
300440,CALAOAGAN DACKEL NATIONAL HIGH SCHOOL,REGION II,CAGAYAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,472,13,20,42,21,3,2,0,4,0,0,2,0,0,0,0,2,1,0,1,NA
300462,GATTARAN NATIONAL TRADE SCHOOL,REGION II,CAGAYAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,632,17,26,45,21,3,2,2,3,1,0,0,0,0,0,0,1,1,0,4,"Automotive Servicing (NC II), Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Hairdressing (NC II), Wellness Massage (NC II)"
300469,LAL-LO NATIONAL HIGH SCHOOL,REGION II,CAGAYAN,JHS with SHS,"Acad, TechVoc and Arts",Acad and TechPro,Large,1231,34,51,85,42,5,3,2,4,8,0,0,0,0,0,0,2,3,0,4,"Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Dressmaking (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Hairdressing (NC II), Tailoring (NC II), Wellness Massage (NC II)"
300475,LOGAC NATIONAL HIGH SCHOOL,REGION II,CAGAYAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,326,10,15,32,13,0,0,0,1,3,0,1,0,0,0,0,0,0,0,2,"Bread and Pastry Production (NC II), Cookery (NC II), Dressmaking (NC II), Food and Beverage Services (NC II), Tailoring (NC II)"
300483,GONZAGA NATIONAL HIGH SCHOOL,REGION II,CAGAYAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,597,16,24,45,25,4,1,1,2,5,0,0,0,0,0,0,1,2,0,0,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
300500,ALICIA NATIONAL HIGH SCHOOL,REGION II,ISABELA,JHS with SHS,"Acad, TechVoc and Sports",Acad and TechPro,Large,932,25,38,82,34,4,3,5,8,6,1,0,0,0,0,0,3,1,0,1,"Automotive Servicing (NC I), Beauty/ Nail Care (NC II), Computer Systems Servicing (NC II), Hairdressing (NC II), Wellness Massage (NC II)"
300542,ISABELA NATIONAL HIGH SCHOOL,REGION II,CITY OF ILAGAN,JHS with SHS,Acad and Arts,Academic,Very Large,2075,54,81,128,78,14,9,10,8,17,0,3,3,0,0,1,4,0,0,2,NA
300555,JONES RURAL SCHOOL,REGION II,ISABELA,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1016,27,41,58,33,8,3,3,2,3,2,2,0,0,0,0,1,0,0,2,"Artificial Insemination- Ruminants (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Pest Management (NC II)"
300578,RIZAL NATIONAL HIGH SCHOOL,REGION II,SANTIAGO CITY,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,450,12,18,48,15,2,2,0,3,1,0,1,0,0,0,0,1,0,0,3,NA
300599,SANTIAGO CITY NATIONAL HIGH SCHOOL,REGION II,SANTIAGO CITY,JHS with SHS,"Acad, TechVoc and Arts",Acad and TechPro,Very Large,1313,36,54,145,39,6,4,2,4,8,0,4,0,0,1,0,3,0,0,3,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
300600,SGT. PROSPERO BELLO HIGH SCHOOL - MAIN,REGION II,ISABELA,JHS with SHS,Academic,#N/A,#N/A,284,8,12,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
